Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5779055251,7.63910354987;"{""type"": ""LineString"", ""coordinates"": [[7.640174560667169, 47.57858817705653], [7.639913843624146, 47.57847457031913], [7.639770638497693, 47.57840698752027], [7.639655306648972, 47.578343115773954], [7.63955198393516, 47.57827043636456], [7.639488695188496, 47.57822594593071], [7.639427249041109, 47.578176595698196], [7.639333195976846, 47.57809462762098], [7.639176229004932, 47.577947455772424], [7.638965332427017, 47.57777352139613], [7.638894589626947, 47.57772229819953], [7.638820107438255, 47.57766275324287], [7.638773586062666, 47.577633945533755], [7.638466082990854, 47.57744007540092], [7.638203296432448, 47.57729307480339], [7.638036366480106, 47.577209827543776]]}";241;241;Strasse;Zone30;
47.5774854384,7.63896648265;"{""type"": ""LineString"", ""coordinates"": [[7.638997193527577, 47.57746636841629], [7.638935771781857, 47.57750450838001]]}";243;243;Trottoir;Zone50;
47.5742764068,7.63283312156;"{""type"": ""LineString"", ""coordinates"": [[7.632851224249891, 47.574294953103625], [7.63281501886923, 47.574257860568956]]}";246;246;Strasse;Zone30;
47.5695105245,7.63015467069;"{""type"": ""LineString"", ""coordinates"": [[7.630817385147287, 47.56902920040705], [7.629630304576383, 47.56987820778385], [7.629599760784097, 47.56991395388598], [7.629594004303677, 47.569961584974784], [7.629613554245261, 47.57001018184921], [7.629630825464486, 47.570023635075216], [7.629644318841325, 47.57003235481615]]}";263;263;Trottoir;Zone30;
47.5699404628,7.63058573346;"{""type"": ""LineString"", ""coordinates"": [[7.631496215989767, 47.56932921403861], [7.630879808933686, 47.56981195423289], [7.630295607413997, 47.570269680514194], [7.630206511009116, 47.57033885379802], [7.630165640310494, 47.57034839140648], [7.630111765989433, 47.57033391022726], [7.630058894234438, 47.57029884079532], [7.629644318841325, 47.57003235481615]]}";265;265;Trottoir;Zone30;
47.5696306184,7.62906859678;"{""type"": ""LineString"", ""coordinates"": [[7.629035574673809, 47.56965343998409], [7.629101618876401, 47.56960779684772]]}";272;272;Fussweg_Park;Zone30;
47.5691407146,7.62984160526;"{""type"": ""LineString"", ""coordinates"": [[7.629829799951052, 47.56915056861738], [7.629853410566065, 47.56913086061131]]}";276;276;Fussweg_Park;Zone30;
47.5690338257,7.6304177245;"{""type"": ""LineString"", ""coordinates"": [[7.630406528287157, 47.56904118298253], [7.630428920710669, 47.56902646837038]]}";280;280;Fussweg_Park;Zone30;
47.5688947867,7.63020515701;"{""type"": ""LineString"", ""coordinates"": [[7.630195030886826, 47.568904080382275], [7.630215283141907, 47.56888549304534]]}";281;281;Fussweg_Park;Zone30;
47.5707580078,7.62908820117;"{""type"": ""LineString"", ""coordinates"": [[7.629618217555049, 47.57101166757555], [7.628866377210622, 47.57065229607959], [7.628558791027312, 47.5705030891115]]}";285;285;Trottoir;Zone50;
47.5700858371,7.63327094094;"{""type"": ""LineString"", ""coordinates"": [[7.633289109389486, 47.57009544349124], [7.6332527724895, 47.57007623073989]]}";289;289;Trottoir;Zone50;
47.5724758565,7.6361007144;"{""type"": ""LineString"", ""coordinates"": [[7.634738999205369, 47.57243395286006], [7.635433536616121, 47.57248869463975], [7.635883498545732, 47.57248574764776], [7.636258382992082, 47.5724821978945], [7.636968300704511, 47.5724766196292], [7.637464016898768, 47.57247286004716]]}";292;292;Trottoir;Zone30;
47.5684343879,7.63709017933;"{""type"": ""LineString"", ""coordinates"": [[7.637322343052075, 47.568542530657936], [7.637139319250862, 47.56853337254417], [7.636974521189839, 47.56850451384884], [7.636910924044734, 47.56848058201398], [7.636845022491982, 47.56841585860853], [7.6368363056699, 47.56838746232718], [7.636857760543439, 47.56836775655374], [7.636886777283969, 47.56835532280106], [7.63701483899512, 47.568347091227075], [7.637175198063634, 47.56834026140883], [7.637221499504487, 47.568344553368036], [7.637276485429431, 47.568368499729026], [7.637295969200661, 47.5683976060929], [7.63731007098912, 47.56842672163934], [7.637310228438108, 47.5684689738113], [7.637311478577841, 47.56851559505965]]}";307;307;Trottoir;Zone50;
47.5683892073,7.6370922179;"{""type"": ""LineString"", ""coordinates"": [[7.637121904478441, 47.56834252877402], [7.637062531331299, 47.56843588576173]]}";308;308;Fussweg_Park;Zone50;
47.5645528386,7.63615868698;"{""type"": ""LineString"", ""coordinates"": [[7.636533620705286, 47.564921260426324], [7.636478663242372, 47.56490751251889], [7.636441997774449, 47.56488863406195], [7.636250653253083, 47.56466385526858], [7.636040686489216, 47.56442272116871], [7.635899069416482, 47.56425558811259], [7.635849886091229, 47.56419684352435], [7.635851893889121, 47.56415768145865], [7.635865799747944, 47.564134346169695]]}";312;312;Trottoir;Zone50;
47.5658868717,7.63606911025;"{""type"": ""LineString"", ""coordinates"": [[7.636115841653558, 47.56681895158196], [7.636143343773112, 47.56678525044539], [7.636112226492932, 47.56634158037779], [7.636089348998873, 47.566131283176226], [7.636071898067862, 47.565893554909884], [7.636050942376077, 47.56570693486351], [7.63603367172052, 47.56551781729202], [7.636018027333665, 47.56527261212218], [7.635992206214149, 47.56494532951719]]}";316;316;Trottoir;Zone50;
47.5679661859,7.63445646556;"{""type"": ""LineString"", ""coordinates"": [[7.634806061524834, 47.56753288364729], [7.634673873140897, 47.56764715557687], [7.634579392929854, 47.56774562489173], [7.634491200640877, 47.56786652285075], [7.634407938884679, 47.56801296357134], [7.634345742407142, 47.56812758504491], [7.634270717212917, 47.568259055267745], [7.634208488118892, 47.56836494382133], [7.634190185733067, 47.56839660543759], [7.634198214042838, 47.568451435577835]]}";321;321;Trottoir;Zone30;
